,sn45_mean,sn45_median,sn46_mean,sn46_median,sn49_mean,sn49_median,sn62_mean,sn62_median,sn67_mean,sn67_median,sn72_mean,sn72_median
temp_box,17.186630098989273,15.779568965517242,17.934894744267122,16.62333333333333,17.640917749511942,15.656666666666666,18.28393734682853,17.205,17.374277131370714,15.791666666666666,15.903402367574722,14.554545454545455
temp_manifold,11.598310781628957,10.315350877192982,14.18038154687558,12.825,12.544897750125072,11.033333333333333,13.39589842270205,12.1025,13.175248625310402,11.567796610169491,11.057440272379472,10.253333333333334
rh_manifold,52.921608096814644,53.055833333333325,45.37722322480854,44.99354838709677,50.767613344671695,51.51166666666666,55.90010325681861,55.02583333333333,51.311327947128696,52.11333333333334,51.4531923115365,52.255
pressure,101683.23590061007,101728.40681818183,101613.88549175137,101619.3,101444.0517366537,101493.38333333333,101535.3778591031,101585.79924242424,101614.64016431566,101668.0,101570.5983137512,101638.43333333333
noise,791.2327283039295,1405.5816666666665,3.5169341426352267,3.0,75.33339616127118,10.183333333333334,3.1819191127543656,3.0,168.1042345296565,26.373333333333335,42.27265424112546,6.79
solar,0.22986789477961012,0.0,4.263847151020108,0.0,15.260365791152353,1.0,15.192877350334111,3.211666666666667,15.179488375888667,0.4633333333333333,26.619098444783667,14.0
wind_dir,165.58176294453892,155.46077956989248,158.07166836459805,141.0483870967742,171.76459213671603,191.99032258064514,182.9183547542363,219.94050546448085,172.0738664140218,214.25666666666666,126.67233642803794,104.54310344827586
wind_speed,2.241749517032754,1.7632142857142856,2.1014560925250043,1.415,2.5942197188715994,2.205,5.0527598395975195,3.4156916347730997,3.8244714811330836,3.1166666666666667,1.700624577660403,1.0170731707317073
co,157.09312550360747,130.47963652887265,256.24276311808376,208.279328351933,170.41084097359064,159.86191817103526,140.35042068620447,117.496431438664,159.16903255761235,128.271977014917,,
no,5.065494663642944,3.088008948738595,5.714424079514925,4.30931567439747,3.557110300704753,2.4358298736320636,3.0979668263730114,1.9203079856593552,2.957878860781022,2.160165,,
no2,9.41895059123076,8.440838864137465,7.61185874468842,6.889732351941607,8.788631721927354,8.148075757575757,9.706796116650533,9.331649038479565,8.8573358536777,8.207304028748808,,
o3,21.375170275694412,21.549035,,,23.35395824803837,23.782735000000002,21.422078677258497,21.478773306946945,19.656515213309874,19.895665,,
pm1,0.24989995520432992,0.14947190505917485,0.2385375523754807,0.15086992576579722,0.19040164263881187,0.1060471017910613,0.09985713430852527,0.05624800098817284,0.2196157515299488,0.12520804815963696,0.26519790597707493,0.14047948178432468
pm25,0.43261629890263703,0.27431368631943254,0.42760620625260054,0.28043246316322684,0.3408356906908462,0.18870248603405276,0.2059364546087203,0.10553195228845508,0.43193629845994297,0.23791500000000002,0.47129354966760184,0.26752036335006923
pm10,3.762640159361691,1.5654951759341613,4.052931768277669,1.782224851727698,3.309772994937569,1.1578191377370444,1.60370233474439,0.5386858333333333,4.256487504826645,1.5809339282342008,4.122184379875575,1.5879519891747362
co2,479.8762674069473,527.6036381498599,346.3405778096631,346.33689281806016,457.5635584911245,467.42235999999997,487.2588357928936,459.67304416666667,444.4217657413226,446.53548922312353,339.8026201378808,339.8929175121533
bin0,5.629235007625001,3.183666666666667,5.210955990101675,3.0618833333333333,4.985379809796583,2.8409,2.3425176654686477,1.2469333333333334,4.845509466574391,2.5134499999999997,5.91619646175572,3.05305
bin1,0.442479343130499,0.23545000000000002,0.4188697763264576,0.231,0.392326835370093,0.20150053763440862,0.12770232880934654,0.05175,0.3838296012583309,0.17789053672316382,0.5313673112486782,0.24428333333333335
bin2,0.11329608449929887,0.0586,0.11439653207586103,0.06293333333333334,0.1143879210581001,0.0588,0.05585842084107258,0.017227657324167107,0.11021521082847714,0.04331666666666667,0.15713357964155766,0.07705833333333334
bin3,0.09017518703827657,0.043356060606060606,0.0884834231752958,0.0445,0.09005907581020403,0.0417,0.0527525834888531,0.0196,0.1043543690777734,0.039966666666666664,0.1079267501601592,0.05
bin4,0.052392102193025814,0.01883050847457627,0.05250232093848214,0.020366666666666665,0.05726358511107596,0.021433333333333335,0.022394136569873213,0.006271264367816092,0.060105980245776104,0.0195,0.06091976587367258,0.021158333333333335
bin5,0.015305679386998271,0.0003333333333333333,0.013145404737261586,0.00038333333333333334,0.019691592464421304,0.0002711864406779661,0.012982173087296996,0.0,0.01976845254722339,8.333333333333333e-05,0.02052403546632434,0.0003333333333333333
no_ae,664.9491487268339,662.7504098360656,668.1271575073137,661.9803278688526,667.9920228915901,663.7641666666667,667.4468686495238,665.1266666666667,665.6291294592914,662.6316666666667,667.4193661388756,667.2327272727273
co_ae,650.4524350750404,651.2882142857143,638.0265678468363,643.4616666666666,650.8836168582862,651.9333333333333,649.6286885230701,650.7225000000001,651.2694146321322,653.1419354838711,647.8840756531082,650.3050000000001
no2_ae,1885.0675187289994,1885.1116666666667,1890.0291778219466,1890.5733333333333,1882.86984888067,1883.3991666666666,1879.701939053957,1880.0286827956988,1883.9355821706356,1884.1939393939394,1881.354244658977,1881.724193548387
tmpc,8.027830556662675,6.72,8.531209410686031,7.22,8.128688224715244,6.72,7.888329395080015,6.659,8.175911384534228,6.72,6.611090233236137,5.8100000000000005
wd,214.30396876773452,230.33333333333334,210.28291469098187,227.33333333333334,213.92357620337827,229.66666666666666,215.2970558456392,231.89903846153845,213.76745781128432,230.0,215.59777921029453,233.5
ws,4.971498002660491,4.7909116455151235,4.980255760930134,4.818619791666666,4.973744428490613,4.797203703703703,4.953714313800441,4.788637268518518,5.015613813120686,4.835527229532164,5.1115949298871355,4.917133796296296
correctedNO,2.6760963050220092,1.1768226000781683,2.4918789321988446,1.5078901443169808,1.9282936677059708,1.0523544008351844,1.727808799375769,0.8188721814987523,1.2865553454514165,0.699145370468651,1.2623354864266272,0.3623819395634853
timediff,11.23780477850187,1.0,3.613849860909132,1.0,1.6820838005669152,1.0,1.7175991754697688,1.0,13.339769451967937,1.0,3.9470282421152127,1.0
removeCO,0.0028350872004945303,0.0,0.0037672548106293083,0.0,0.0010573516235419713,0.0,0.0021044946861441577,0.0,0.006708193097489422,0.0,0.001414777919111013,0.0
co.ML,188.46974440206623,164.34453386984558,305.9978871719764,237.08976434165342,172.78514160041382,152.05662692009994,175.1607184280769,150.42637445860254,191.86247512874115,147.5650493917076,187.67441605799092,161.06438262975178
no.ML,6.077980128768786,4.159600846928292,6.392697452530724,4.868713924352157,5.1790198803663205,3.87876946376694,6.449376269695541,4.792196779251168,5.238635457354227,3.7217148418865245,9.23059896316087,6.198900430645841
no2.ML,12.096884747673885,11.412069141004409,14.148218512897905,13.037712394364728,6.183249398067607,5.2794017969173055,14.271212407434511,13.778125376703072,11.7894215889371,11.333185484235635,11.858640120817045,11.195376331032428
o3.ML,23.919951448660516,23.31352302539294,19.31431252328692,17.982510469643838,24.36060982806301,23.026379656006174,24.864179353920676,12.251693261901591,26.05722188923266,25.9863947433784,114.05028682449658,94.2807388093935
flag,8.883072105177856,0.0,7.69630484652005,0.0,8.14620126946371,0.0,7.979090169845308,0.0,10.756651262936295,0.0,8.661347973923126,0.0
pm1.ML,7.152689550659039,4.277877859834763,6.762853272325271,4.19301625636977,5.156802059219727,2.7897500963105815,2.410365344608706,1.2644369111970513,5.7858459290824795,3.207630199518473,6.316371031158145,3.1332066464857977
pm25.ML,7.45109689639937,4.5358903707973015,7.062167845193739,4.452615962393674,5.388482890924419,2.950658109010945,2.556718452867804,1.3409778882412893,6.105545500852964,3.428990331636001,6.59627615848807,3.319381570401048
pm10.ML,12.86729395724982,7.9191075602353695,12.659336530478997,8.162923915763486,9.934477469054347,5.151129352115236,4.5028979502378945,2.06893001558018,11.83257776813495,6.198146504726434,11.531231412578247,5.631409300009601
